frame,cls,id,team,x,y,group
1,0,0,2,9790,-561,1
2,0,0,2,9790,-561,1
3,0,0,2,9790,-561,1
4,0,0,2,9781,-561,1
5,0,0,2,9790,-561,1
6,0,0,2,9821,-602,1
7,0,0,2,9829,-612,1
8,0,0,2,9845,-633,1
9,0,0,2,9853,-643,1
10,0,0,2,9860,-653,1
11,0,0,2,9860,-653,1
12,0,0,2,9853,-643,1
13,0,0,2,9845,-633,1
14,0,0,2,9853,-643,1
15,0,0,2,9853,-643,1
16,0,0,2,9853,-643,1
17,0,0,2,9853,-643,1
18,0,0,2,9845,-633,1
19,0,0,2,9853,-643,1
20,0,0,2,9845,-633,1
21,0,0,2,9845,-633,1
22,0,0,2,9845,-633,1
23,0,0,2,9844,-643,1
24,0,0,2,9853,-643,1
25,0,0,2,9844,-643,1
26,0,0,2,9836,-633,1
27,0,0,2,9844,-643,1
28,0,0,2,9859,-664,1
29,0,0,2,9859,-674,1
30,0,0,2,9907,-714,1
31,0,0,2,9932,-723,1
32,0,0,2,9923,-724,1
33,0,0,2,9924,-713,1
34,0,0,2,9908,-704,1
35,0,0,2,9925,-703,1
36,0,0,2,9940,-723,1
37,0,0,2,9932,-723,1
38,0,0,1,843,8480,1
38,0,0,2,9916,-703,1
39,0,0,1,1143,8198,1
39,0,0,2,9870,-642,1
40,0,0,1,1127,8303,1
40,0,0,2,9878,-653,1
41,0,0,1,1097,8339,1
41,0,0,2,9854,-622,1
42,0,0,1,1181,8284,1
42,0,0,2,9855,-611,1
43,0,0,1,1142,8372,1
43,0,0,2,9847,-601,1
44,0,0,1,1261,8255,1
44,0,0,2,9832,-580,1
45,0,0,1,1227,8317,1
45,0,0,2,9832,-580,1
46,0,0,1,1188,8406,1
46,0,0,2,9832,-580,1
47,0,0,1,1333,8279,1
47,0,0,2,9840,-591,1
48,0,0,1,1505,8119,1
48,32,0,0,2225,7745,1
48,0,0,2,9856,-601,1
49,0,0,1,1724,7944,1
49,0,0,2,9856,-601,1
50,0,0,1,1901,7883,1
50,0,0,2,9848,-590,1
51,0,0,1,2053,7805,1
51,0,0,2,9841,-580,1
52,0,0,1,2019,7889,1
52,0,0,2,9841,-580,1
53,0,0,1,2170,7812,1
53,0,0,2,9841,-580,1
54,0,0,1,2291,7769,1
54,0,0,2,9848,-590,1
55,0,0,1,2364,7744,1
55,0,0,2,9841,-580,1
56,0,0,1,2328,7851,1
56,0,0,2,9841,-580,1
57,0,0,1,2709,7507,1
57,0,0,2,9841,-580,1
58,0,0,1,2654,7596,1
58,0,0,2,9841,-580,1
59,0,0,1,2651,7620,1
59,0,0,2,9841,-580,1
60,0,0,1,2590,7758,1
60,0,0,2,9832,-580,1
61,0,0,1,2661,7733,1
61,0,0,2,9807,-560,1
62,0,0,1,2754,7699,1
62,0,0,2,9799,-550,1
63,0,0,1,2847,7667,1
63,0,0,2,9799,-550,1
64,0,0,2,9799,-550,1
64,0,0,1,2984,7618,1
65,0,0,2,9791,-550,1
65,0,0,1,2854,7803,1
66,0,0,2,9791,-550,1
66,0,0,1,2690,8074,1
67,0,0,2,9791,-550,1
67,0,0,1,3009,7793,1
68,0,0,2,9791,-550,1
68,0,0,1,3193,7703,1
69,0,0,2,9790,-561,1
69,0,0,1,3210,7743,1
70,0,0,2,9790,-561,1
70,0,0,1,3275,7742,1
71,0,0,2,9782,-550,1
71,0,0,1,3270,7790,1
72,0,0,2,9782,-550,1
72,0,0,1,3315,7773,1
73,0,0,2,9782,-550,1
73,0,0,1,3335,7789,1
74,0,0,2,9791,-550,1
74,0,0,1,3335,7789,1
75,0,0,2,9791,-550,1
75,0,0,1,3379,7772,1
76,0,0,2,9791,-550,1
76,0,0,1,3298,7940,1
77,0,0,2,9791,-550,1
77,0,0,1,3197,8094,1
78,0,0,2,9791,-550,1
78,0,0,1,3192,8143,1
79,0,0,2,9782,-550,1
79,0,0,1,3066,8309,1
80,0,0,2,9782,-550,1
80,0,0,1,3086,8325,1
81,0,0,2,9782,-550,1
82,0,0,2,9791,-550,1
83,0,0,2,9791,-550,1
84,0,0,2,9791,-550,1
85,0,0,2,9791,-550,1
86,0,0,2,9791,-550,1
87,0,0,2,9782,-550,1
88,0,0,2,9782,-550,1
89,0,0,2,9799,-560,1
90,0,0,2,9799,-560,1
91,0,0,2,9782,-550,1
92,0,0,2,9774,-540,1
93,0,0,2,9765,-540,1
94,0,0,2,9766,-529,1
95,0,0,2,9774,-540,1
96,0,0,2,9766,-529,1
97,0,0,2,9766,-529,1
98,0,0,2,9766,-529,1
99,0,0,2,9766,-529,1
100,0,0,2,9766,-529,1
101,0,0,2,9774,-540,1
102,0,0,2,9766,-529,1
103,0,0,2,9766,-529,1
104,0,0,2,9774,-540,1
105,0,0,2,9774,-540,1
106,0,0,2,9774,-540,1
107,0,0,2,9774,-540,1
108,0,0,2,9774,-540,1
